name,smiles,properties.generated_by,properties.operation,properties.model_type,properties.index,properties.Agent,properties.Prior,properties.Target,properties.Score,properties.SMILES_state,properties.QED,properties.QED (raw),properties.MW,properties.MW (raw),properties.SlogP,properties.SlogP (raw),properties.TPSA,properties.TPSA (raw),properties.HBondAcceptors,properties.HBondAcceptors (raw),properties.HBondDonors,properties.HBondDonors (raw),properties.step,properties._stage
opt1,COc1[nH]cc2c(=O)n(C3CCC(NC(C)C)C3)c3cnc(C)nc3c12,reinvent4,staged_learning,reinvent,0,44.2006,44.5259,83.4736,0.9999965,1,0.9999893,0.7515,0.9999983,355.442,1,2.6814,0.9999986,84.83,1,6,1,2,17,1
opt2,Cc1c(CN2CCC3(CCNCC3)CC2)cc(CCC(=O)O)c(O)c1C,reinvent4,staged_learning,reinvent,1,39.4351,39.7354,88.2641,0.9999964,1,0.9999886,0.7528,0.9999974,360.498,1,2.9918,1,72.8,1,4,1,3,11,1
opt3,Cc1nc2cc(-c3nnn(CC4CCC(N)CC4)c3C3CC3)ccc2[nH]1,reinvent4,staged_learning,reinvent,2,31.531,31.4486,96.5509,0.9999962,1,0.9999882,0.7536,0.9999989,350.47,0.9999999,3.5247,0.9999983,85.41,1,5,1,2,14,1
opt4,O=c1ccc2cc(S(=O)(=O)NCCc3ccccc3)ccc2[nH]1,reinvent4,staged_learning,reinvent,3,20.9008,21.2685,106.7309,0.9999957,1,0.999989,0.7522,0.9999927,328.393,1,2.0491,0.9999999,79.03,0.999999,3,1,2,18,1
opt5,O=c1[nH]c(-c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2)cs1,reinvent4,staged_learning,reinvent,4,26.1427,26.2201,101.7793,0.9999952,1,0.9999858,0.7423,0.9999946,368.386,1,3.1824,0.9999999,79.03,1,4,1,2,14,1
opt6,CCOc1ccc(CN(C)CC(=O)NCCc2cc(C)n[nH]2)cc1,reinvent4,staged_learning,reinvent,5,30.503,30.5774,97.4218,0.9999938,1,0.9999815,0.7367,0.9999939,330.432,1,1.9075,1,70.25,1,4,1,2,17,1
opt7,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CCc1ccoc1O,reinvent4,staged_learning,reinvent,6,18.527,18.5747,109.4245,0.9999936,1,0.9999799,0.7348,0.9999958,334.456,0.9999998,3.6598,1,73.83,1,4,1,3,7,1
opt8,CCN=c1nc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2c[nH]1,reinvent4,staged_learning,reinvent,7,22.2496,22.2496,105.7495,0.999993,1,0.9999846,0.7593,0.9999822,318.743,1,2.2315,0.9999995,82.08,1,4,1,2,1,1
opt9,CC(C)S(=O)(=O)c1ccccc1-c1ccc(-c2cnc(=N)[nH]c2)c(F)c1,reinvent4,staged_learning,reinvent,8,22.3992,22.2519,105.7472,0.999993,1,0.9999803,0.7353,0.9999928,371.437,0.9999999,3.5444,0.9999972,86.67,1,4,1,2,24,1
opt10,COc1ccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]c(=N)c2C#N)cc1,reinvent4,staged_learning,reinvent,9,20.8594,20.4493,107.5498,0.9999929,1,0.9999837,0.7606,0.9999985,345.358,0.9999999,3.4372,0.9999846,91.12,1,5,1,2,14,1
opt11,Cc1ccc(S(=O)(=O)Nn2c(O)c3c(c2O)CC=CC3)cc1,reinvent4,staged_learning,reinvent,10,23.3994,23.4623,104.5366,0.999992,1,0.999989,0.752,0.9999847,320.37,1,1.7949,0.9999818,91.56,1,5,1,3,26,1
opt12,CC(C)N=c1cc(-c2ccc(O)cc2)nc(-c2ccccc2F)[nH]1,reinvent4,staged_learning,reinvent,11,28.5131,28.6709,99.328,0.9999915,1,0.9999774,0.7678,0.9999884,323.371,0.9999985,3.8975,0.9999999,61.27,0.999999,3,1,2,15,1
opt13,Cn1c(-c2ccccn2)c(C2CCCC2)c2ccc(C(=O)NCCO)cc21,reinvent4,staged_learning,reinvent,12,26.3853,26.243,101.7559,0.9999915,1,0.9999717,0.7275,0.9999965,363.461,0.9999999,3.62,1,67.15,1,4,1,2,20,1
opt14,O=C(NNC(=O)C1COc2ccccc2O1)Nc1ccc(Cl)cc1,reinvent4,staged_learning,reinvent,13,21.5678,21.5023,106.4965,0.9999909,1,0.9999717,0.7274,0.9999988,347.758,1,2.3327,0.999994,88.69,1,4,1,3,8,1
